model,temperature,generation,ticks_survived,charge_efficiency,signs_written,vaults_attempted,vaults_solved
qwen2.5:7b,0.2,1,37,0.296,0,0,0
qwen2.5:7b,0.2,2,25,0.0,0,0,0
qwen2.5:7b,0.2,3,25,0.0,0,0,0
qwen2.5:7b,0.2,4,25,0.0,0,0,0
qwen2.5:7b,0.2,5,30,0.139,0,0,0
qwen2.5:7b,0.2,6,30,0.0,0,0,0
qwen2.5:7b,0.2,7,30,0.298,0,3,0
qwen2.5:7b,0.2,8,30,0.129,0,0,0
qwen2.5:7b,0.2,9,26,0.0,0,0,0
qwen2.5:7b,0.2,10,23,0.136,0,3,0
qwen2.5:7b,0.2,11,24,0.165,0,3,0
qwen2.5:7b,0.2,12,25,0.0,0,0,0
qwen2.5:7b,0.2,13,32,0.487,0,8,1
qwen2.5:7b,0.2,14,25,0.0,0,0,0
qwen2.5:7b,0.2,15,25,0.0,0,0,0
qwen2.5:7b,0.2,16,31,0.169,0,0,0
qwen2.5:7b,0.2,17,28,0.154,0,1,0
qwen2.5:7b,0.2,18,25,0.0,0,0,0
qwen2.5:7b,0.2,19,39,0.44,0,3,0
qwen2.5:7b,0.2,20,24,0.0,0,1,0
qwen2.5:7b,0.2,21,27,0.0,0,0,0
qwen2.5:7b,0.2,22,25,0.0,0,0,0
qwen2.5:7b,0.2,23,34,0.187,0,0,0
qwen2.5:7b,0.2,24,36,0.37,0,2,0
qwen2.5:7b,0.2,25,30,0.187,0,2,0
qwen2.5:7b,0.2,26,24,0.0,0,1,0
qwen2.5:7b,0.2,27,26,0.0,0,0,0
qwen2.5:7b,0.2,28,34,0.467,0,6,0
qwen2.5:7b,0.2,29,25,0.0,0,0,0
gemma2:2b,0.4,1,29,0.138,0,0,0
gemma2:2b,0.4,2,28,0.0,0,0,0
gemma2:2b,0.4,3,23,0.0,2,1,0
gemma2:2b,0.4,4,31,0.18,0,0,0
gemma2:2b,0.4,5,27,0.0,0,0,0
gemma2:2b,0.4,6,28,0.0,0,0,0
gemma2:2b,0.4,7,18,0.0,0,4,0
gemma2:2b,0.4,8,39,0.385,0,1,0
gemma2:2b,0.4,9,25,0.0,0,1,0
gemma2:2b,0.4,10,31,0.187,2,0,0
gemma2:2b,0.4,11,28,0.0,0,0,0
gemma2:2b,0.4,12,28,0.0,0,0,0
gemma2:2b,0.4,13,26,0.0,0,0,0
gemma2:2b,0.4,14,26,0.0,0,0,0
gemma2:2b,0.4,15,28,0.0,0,0,0
gemma2:2b,0.4,16,19,0.0,7,1,0
gemma2:2b,0.4,17,28,0.0,0,0,0
gemma2:2b,0.4,18,30,0.192,2,0,0
gemma2:2b,0.4,19,37,0.358,0,2,0
gemma2:2b,0.4,20,29,0.0,0,0,0
gemma2:2b,0.4,21,14,0.0,0,5,0
gemma2:2b,0.4,22,28,0.0,0,0,0
gemma2:2b,0.4,23,15,0.0,0,5,0
gemma2:2b,0.4,24,20,0.0,1,2,0
gemma2:2b,0.2,1,25,0.0,1,0,0
gemma2:2b,0.2,2,31,0.235,4,0,0
gemma2:2b,0.2,3,23,0.0,3,0,0
gemma2:2b,0.2,4,21,0.0,8,0,0
gemma2:2b,0.2,5,25,0.0,0,0,0
gemma2:2b,0.2,6,11,0.0,0,6,0
gemma2:2b,0.2,7,28,0.0,0,0,0
gemma2:2b,0.2,8,25,0.0,0,1,0
gemma2:2b,0.2,9,12,0.0,0,6,0
gemma2:2b,0.2,10,35,0.287,1,0,0
gemma2:2b,0.2,11,28,0.0,0,0,0
gemma2:2b,0.2,12,29,0.145,1,0,0
gemma2:2b,0.2,13,28,0.0,0,0,0
gemma2:2b,0.2,14,22,0.0,3,1,0
gemma2:2b,0.2,15,23,0.0,4,0,0
gemma2:2b,0.2,16,15,0.0,15,0,0
gemma2:2b,0.2,17,15,0.0,1,5,0
gemma2:2b,0.2,18,18,0.0,0,3,0
gemma2:2b,0.2,19,35,0.266,0,0,0
gemma2:2b,0.2,20,29,0.0,0,0,0
gemma2:2b,0.2,21,26,0.0,0,1,0
gemini-3.5-flash,0.2,1,40,0.235,0,0,0
mistral,0.2,1,30,0.105,1,0,0
mistral,0.2,2,32,0.161,1,0,0
mistral,0.2,3,24,0.0,0,1,0
mistral,0.2,4,23,0.0,0,0,0
mistral,0.2,5,21,0.168,0,4,0
mistral,0.2,6,18,0.0,2,2,0
mistral,0.2,7,21,0.0,1,0,0
mistral,0.2,1,33,0.133,0,0,0
mistral,0.2,2,26,0.0,0,0,0
mistral,0.2,3,23,0.0,0,0,0
mistral,0.2,4,26,0.0,0,0,0
mistral,0.2,5,21,0.0,1,0,0
mistral,0.2,6,24,0.0,0,0,0
mistral,0.2,7,16,0.0,0,3,0
mistral,0.2,8,19,0.0,0,1,0
mistral,0.2,9,25,0.0,0,0,0
mistral,0.2,10,23,0.0,0,0,0
mistral,0.2,11,30,0.172,0,0,0
mistral,0.2,12,28,0.0,0,0,0
mistral,0.2,13,28,0.0,0,0,0
mistral,0.2,14,28,0.0,0,0,0
mistral,0.2,15,28,0.0,0,0,0
mistral,0.2,16,28,0.0,0,0,0
mistral,0.2,17,28,0.0,0,0,0
mistral,0.2,18,28,0.0,0,0,0
mistral,0.2,19,25,0.0,0,0,0
mistral,0.2,20,27,0.0,0,0,0
mistral,0.2,21,28,0.0,0,0,0
mistral,0.2,22,43,0.378,0,0,0
gemini-3.1-flash-lite,0.2,1,30,0.161,0,0,0
gemini-3.1-flash-lite,0.2,2,29,0.139,0,0,0
gemini-3.1-flash-lite,0.2,3,45,0.471,0,1,1
gemini-3.1-flash-lite,0.2,4,40,0.407,0,1,0
gemini-3.1-flash-lite,0.2,5,25,0.0,0,0,0
gemini-3.1-flash-lite,0.2,6,37,0.331,0,0,0
gemini-3.1-flash-lite,0.2,7,23,0.0,0,1,0
gemini-3.1-flash-lite,0.2,8,61,0.609,0,1,1
gemini-3.1-flash-lite,0.2,9,66,0.636,1,1,1
gemini-3.1-flash-lite,0.2,10,34,0.255,0,0,0
gemini-3.1-flash-lite,0.2,11,37,0.391,0,2,0
gemini-3.1-flash-lite,0.2,12,25,0.0,0,0,0
gemini-3.1-flash-lite,0.2,13,27,0.132,0,1,0
gemini-3.1-flash-lite,0.2,14,28,0.0,0,0,0
gemini-3.1-flash-lite,0.2,1,27,0.068,0,0,0
gemini-3.1-flash-lite,0.2,2,39,0.432,0,2,0
gemini-3.1-flash-lite,0.2,3,25,0.0,0,0,0
gemini-3.1-flash-lite,0.2,4,35,0.292,0,0,0
gemini-3.1-flash-lite,0.2,5,61,0.598,0,1,1
gemini-3.1-flash-lite,0.2,6,40,0.375,0,0,0
gemini-3.1-flash-lite,0.2,7,29,0.132,0,0,0
gemini-3.1-flash-lite,0.2,8,25,0.0,0,0,0
gemini-3.1-flash-lite,0.2,9,23,0.0,0,1,0
gemini-3.1-flash-lite,0.2,1,63,0.616,0,1,1
gemini-3.1-flash-lite,0.2,2,54,0.551,0,1,1
deepseek-r1:1.5b,0.2,1,17,0.0,0,0,0
deepseek-r1:1.5b,0.2,2,18,0.0,0,0,0
deepseek-r1:1.5b,0.2,3,18,0.0,0,0,0
deepseek-r1:1.5b,0.2,1,11,0.0,0,0,0
